,Start,Stop,Speaker,Season,Episode,Episode_order,ID,Episode_length
0,108002.1853125,108003.11343750001,20,1,01,101,S01E01,2516.5
1,108032.54343750002,108033.48843750001,20,1,01,101,S01E01,2516.5
2,108035.1084375,108037.55531250002,20,1,01,101,S01E01,2516.5
3,108037.75781250001,108041.11593750001,20,1,01,101,S01E01,2516.5
4,108044.77781250002,108045.72281250001,20,1,01,101,S01E01,2516.5
5,108046.75218750001,108048.77718750002,20,1,01,101,S01E01,2516.5
6,108050.12718750001,108051.24093750001,20,1,01,101,S01E01,2516.5
7,108054.22781250002,108055.39218750001,20,1,01,101,S01E01,2516.5
8,108056.16843750002,108056.38781250002,7,1,01,101,S01E01,2516.5
9,108056.38781250002,108056.43843750001,20,1,01,101,S01E01,2516.5
10,108056.43843750001,108056.92781250001,7,1,01,101,S01E01,2516.5
11,108058.48031250002,108060.25218750001,7,1,01,101,S01E01,2516.5
12,108060.94406250001,108062.05781250002,7,1,01,101,S01E01,2516.5
13,108063.45843750001,108064.47093750001,7,1,01,101,S01E01,2516.5
14,108066.36093750001,108067.50843750002,7,1,01,101,S01E01,2516.5
15,108070.88343750002,108072.08156250001,7,1,01,101,S01E01,2516.5
16,108075.1865625,108075.94593750002,7,1,01,101,S01E01,2516.5
17,108078.44343750001,108080.06343750001,2,1,01,101,S01E01,2516.5
18,108080.40093750002,108080.6709375,2,1,01,101,S01E01,2516.5
19,108080.6709375,108082.10531250002,13,1,01,101,S01E01,2516.5
20,108082.7634375,108083.38781250002,13,1,01,101,S01E01,2516.5
21,108088.01156250002,108088.65281250002,7,1,01,101,S01E01,2516.5
22,108095.04843750001,108096.0609375,20,1,01,101,S01E01,2516.5
23,108108.95343750001,108114.23531250001,20,1,01,101,S01E01,2516.5
24,108114.92718750001,108116.46281250002,20,1,01,101,S01E01,2516.5
25,108116.66531250002,108117.01968750001,20,1,01,101,S01E01,2516.5
26,108117.94781250002,108119.23031250002,20,1,01,101,S01E01,2516.5
27,108119.24718750002,108119.39906250002,20,1,01,101,S01E01,2516.5
28,108120.15843750001,108121.94718750002,20,1,01,101,S01E01,2516.5
29,108121.94718750002,108123.4996875,0,1,01,101,S01E01,2516.5
30,108122.28468750001,108122.36906250002,24,1,01,101,S01E01,2516.5
31,108122.4365625,108123.38156250001,24,1,01,101,S01E01,2516.5
32,108123.4996875,108124.00593750001,15,1,01,101,S01E01,2516.5
33,108124.00593750001,108124.3434375,25,1,01,101,S01E01,2516.5
34,108124.3434375,108124.36031250001,15,1,01,101,S01E01,2516.5
35,108124.36031250001,108124.42781250001,25,1,01,101,S01E01,2516.5
36,108127.2796875,108128.51156250002,14,1,01,101,S01E01,2516.5
37,108129.06843750001,108129.89531250001,15,1,01,101,S01E01,2516.5
38,108155.02218750001,108155.44406250001,12,1,01,101,S01E01,2516.5
39,108155.44406250001,108157.99218750001,21,1,01,101,S01E01,2516.5
40,108157.99218750001,108160.99593750002,12,1,01,101,S01E01,2516.5
41,108160.99593750002,108163.9996875,1,1,01,101,S01E01,2516.5
42,108163.9996875,108167.00343750001,12,1,01,101,S01E01,2516.5
43,108167.00343750001,108169.51781250001,18,1,01,101,S01E01,2516.5
44,108169.75406250001,108171.30656250002,18,1,01,101,S01E01,2516.5
45,108171.30656250002,108171.3740625,12,1,01,101,S01E01,2516.5
46,108171.3740625,108171.44156250001,18,1,01,101,S01E01,2516.5
47,108171.44156250001,108172.99406250002,12,1,01,101,S01E01,2516.5
