,Start,Stop,Speaker,Season,Episode,Episode_order,ID,Episode_length
0,71529.2015625,71530.6696875,0,1,01,101,S01E01,3421.5
1,71534.4496875,71536.72781250002,25,1,01,101,S01E01,3421.5
2,71541.30093750001,71541.50343750001,0,1,01,101,S01E01,3421.5
3,71541.50343750001,71543.03906250001,25,1,01,101,S01E01,3421.5
4,71546.86968750002,71548.1690625,0,1,01,101,S01E01,3421.5
5,71561.12906250001,71564.6390625,25,1,01,101,S01E01,3421.5
6,71569.63406250002,71569.6678125,9,1,01,101,S01E01,3421.5
7,71570.1234375,71570.15718750001,9,1,01,101,S01E01,3421.5
8,71570.62968750001,71570.66343750001,9,1,01,101,S01E01,3421.5
9,71571.1359375,71571.1696875,9,1,01,101,S01E01,3421.5
10,71588.60156250001,71588.6690625,9,1,01,101,S01E01,3421.5
11,71589.1246875,71589.15843750001,9,1,01,101,S01E01,3421.5
12,71652.76031250002,71654.4984375,9,1,01,101,S01E01,3421.5
13,71654.4984375,71654.85281250002,4,1,01,101,S01E01,3421.5
14,71654.85281250002,71654.9371875,9,1,01,101,S01E01,3421.5
15,71654.9371875,71655.00468750001,4,1,01,101,S01E01,3421.5
16,71655.00468750001,71655.37593750001,1,1,01,101,S01E01,3421.5
17,71655.37593750001,71655.44343750001,9,1,01,101,S01E01,3421.5
18,71655.44343750001,71655.49406250002,1,1,01,101,S01E01,3421.5
19,71655.49406250002,71655.89906250002,15,1,01,101,S01E01,3421.5
20,71655.89906250002,71655.9496875,9,1,01,101,S01E01,3421.5
21,71655.9496875,71656.01718750001,15,1,01,101,S01E01,3421.5
22,71656.64156250001,71656.67531250001,15,1,01,101,S01E01,3421.5
23,71657.0296875,71661.4509375,15,1,01,101,S01E01,3421.5
24,71661.4509375,71661.48468750001,5,1,01,101,S01E01,3421.5
25,71661.48468750001,71661.50156250001,4,1,01,101,S01E01,3421.5
26,71661.50156250001,71665.93968750001,15,1,01,101,S01E01,3421.5
27,71665.93968750001,71667.39093750001,4,1,01,101,S01E01,3421.5
28,71668.4203125,71670.58031250001,4,1,01,101,S01E01,3421.5
29,71670.81656250001,71671.94718750002,4,1,01,101,S01E01,3421.5
30,71673.0271875,71674.69781250002,4,1,01,101,S01E01,3421.5
31,71675.1365625,71676.09843750001,9,1,01,101,S01E01,3421.5
32,71676.6384375,71679.1528125,9,1,01,101,S01E01,3421.5
33,71679.1528125,71681.80218750001,23,1,01,101,S01E01,3421.5
34,71682.79781250001,71685.4978125,23,1,01,101,S01E01,3421.5
35,71685.4978125,71686.37531250001,1,1,01,101,S01E01,3421.5
36,71687.1515625,71687.72531250001,1,1,01,101,S01E01,3421.5
37,71687.72531250001,71689.24406250002,23,1,01,101,S01E01,3421.5
38,71690.1384375,71690.17218750001,23,1,01,101,S01E01,3421.5
39,71690.7796875,71693.9521875,1,1,01,101,S01E01,3421.5
40,71693.9521875,71693.96906250001,5,1,01,101,S01E01,3421.5
41,71698.7615625,71699.8415625,9,1,01,101,S01E01,3421.5
42,71701.57968750001,71703.11531250001,9,1,01,101,S01E01,3421.5
43,71707.6546875,71710.67531250001,19,1,01,101,S01E01,3421.5
44,71711.2490625,71711.94093750001,19,1,01,101,S01E01,3421.5
45,71711.94093750001,71716.36218750001,9,1,01,101,S01E01,3421.5
46,71717.3746875,71721.27281250001,9,1,01,101,S01E01,3421.5
47,71721.3571875,71724.1246875,9,1,01,101,S01E01,3421.5
48,71724.79968750001,71724.9515625,9,1,01,101,S01E01,3421.5
49,71724.9515625,71726.68968750001,20,1,01,101,S01E01,3421.5
50,71727.63468750002,71734.11468750001,20,1,01,101,S01E01,3421.5
51,71737.69218750001,71742.34968750001,20,1,01,101,S01E01,3421.5
