,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker,Actual,
0,108188,0.502187499994761,3.94468749999942,101,1,1,0 days 00:00:00.502187,0 days 00:00:03.944687,17,,
1,108188,5.32843749999302,8.87218750001921,101,1,1,0 days 00:00:05.328437,0 days 00:00:08.872188,16,,
2,108188,9.54718749999302,10.9478125000169,101,1,1,0 days 00:00:09.547187,0 days 00:00:10.947813,16,,
3,108188,11.437187500007,11.859062500007,101,1,1,0 days 00:00:11.437188,0 days 00:00:11.859063,13,,
4,108188,12.8378125000163,18.7103124999994,101,1,1,0 days 00:00:12.837813,0 days 00:00:18.710312,13,,
5,108188,19.5540624999994,20.4990625000064,101,1,1,0 days 00:00:19.554062,0 days 00:00:20.499063,13,,
6,108188,20.4990625000064,22.0009374999936,101,1,1,0 days 00:00:20.499063,0 days 00:00:22.000937,9,,
7,108188,26.1184375000157,27.4515625000058,101,1,1,0 days 00:00:26.118438,0 days 00:00:27.451563,9,,
8,108188,28.5990624999977,29.949062500018,101,1,1,0 days 00:00:28.599062,0 days 00:00:29.949063,9,,
9,108188,29.949062500018,30.9953125000175,101,1,1,0 days 00:00:29.949063,0 days 00:00:30.995313,0,,
10,108188,30.9953125000175,31.5015624999942,101,1,1,0 days 00:00:30.995313,0 days 00:00:31.501562,26,,
11,108188,31.5015624999942,32.8346874999988,101,1,1,0 days 00:00:31.501562,0 days 00:00:32.834687,12,,
12,108188,36.4459375000151,37.4921875,101,1,1,0 days 00:00:36.445938,0 days 00:00:37.492188,0,,
13,108188,37.4921875,41.4915624999994,101,1,1,0 days 00:00:37.492188,0 days 00:00:41.491562,13,,
14,108188,43.3478124999965,45.5584375000181,101,1,1,0 days 00:00:43.347812,0 days 00:00:45.558438,13,,
15,108188,45.7609375000175,47.1784374999988,101,1,1,0 days 00:00:45.760938,0 days 00:00:47.178437,13,,
16,108188,47.2459375000181,50.1315624999988,101,1,1,0 days 00:00:47.245938,0 days 00:00:50.131562,25,,
17,108188,52.5109375000175,54.2996874999953,101,1,1,0 days 00:00:52.510938,0 days 00:00:54.299687,25,,
18,108188,55.0084375000151,56.4934375000157,101,1,1,0 days 00:00:55.008438,0 days 00:00:56.493438,13,,
19,108188,56.4934375000157,59.4465625000157,101,1,1,0 days 00:00:56.493438,0 days 00:00:59.446563,5,,
20,108188,59.4465625000157,60.0034374999959,101,1,1,0 days 00:00:59.446563,0 days 00:01:00.003437,18,,
21,108188,60.0034374999959,60.796562500007,101,1,1,0 days 00:01:00.003437,0 days 00:01:00.796563,12,,
22,108188,68.7109375,71.3096875000192,101,1,1,0 days 00:01:08.710938,0 days 00:01:11.309688,1,,
23,108188,71.3096875000192,75.5115625000181,101,1,1,0 days 00:01:11.309688,0 days 00:01:15.511563,8,,
24,108188,78.3465624999954,79.308437500018,101,1,1,0 days 00:01:18.346562,0 days 00:01:19.308438,9,,
25,108188,79.308437500018,89.2309375000186,101,1,1,0 days 00:01:19.308438,0 days 00:01:29.230938,3,,
26,108188,90.4290624999994,92.4034375000192,101,1,1,0 days 00:01:30.429062,0 days 00:01:32.403438,3,,
27,108188,92.4034375000192,96.4703124999942,101,1,1,0 days 00:01:32.403438,0 days 00:01:36.470312,8,,
28,108188,96.4703124999942,98.7821874999936,101,1,1,0 days 00:01:36.470312,0 days 00:01:38.782187,13,,
29,108188,99.9803125000181,102.444062499999,101,1,1,0 days 00:01:39.980313,0 days 00:01:42.444062,13,,
