,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker,Actual,
0,10122,1.01718749999782,3.58218750000014,101,1,1,0 days 00:00:01.017187,0 days 00:00:03.582188,19,,
1,10122,3.58218750000014,4.72968749999927,101,1,1,0 days 00:00:03.582188,0 days 00:00:04.729687,16,,
2,10122,5.47218749999956,5.99531249999927,101,1,1,0 days 00:00:05.472187,0 days 00:00:05.995312,16,,
3,10122,5.99531249999927,9.2521874999984,101,1,1,0 days 00:00:05.995312,0 days 00:00:09.252187,19,,
4,10122,9.43781250000029,14.5003125000003,101,1,1,0 days 00:00:09.437813,0 days 00:00:14.500313,19,,
5,10122,14.5003125000003,17.4871875000008,101,1,1,0 days 00:00:14.500313,0 days 00:00:17.487188,16,,
6,10122,17.7065624999996,19.6978125000005,101,1,1,0 days 00:00:17.706562,0 days 00:00:19.697813,16,,
7,10122,20.7778125000004,22.7184374999997,101,1,1,0 days 00:00:20.777813,0 days 00:00:22.718437,16,,
8,10122,22.7184374999997,25.9246875000008,101,1,1,0 days 00:00:22.718437,0 days 00:00:25.924688,8,,
9,10122,25.9246875000008,28.5740624999999,101,1,1,0 days 00:00:25.924688,0 days 00:00:28.574062,5,,
10,10122,28.7090624999983,30.6159375000006,101,1,1,0 days 00:00:28.709062,0 days 00:00:30.615938,5,,
11,10122,30.9365624999991,31.4934374999993,101,1,1,0 days 00:00:30.936562,0 days 00:00:31.493437,19,,
12,10122,31.8815625000007,32.9278124999983,101,1,1,0 days 00:00:31.881563,0 days 00:00:32.927812,19,,
13,10122,34.294687499998,35.0034374999996,101,1,1,0 days 00:00:34.294687,0 days 00:00:35.003437,19,,
14,10122,35.9653125000004,39.9984375000004,101,1,1,0 days 00:00:35.965313,0 days 00:00:39.998438,16,,
15,10122,40.2346875000003,46.950937499998,101,1,1,0 days 00:00:40.234688,0 days 00:00:46.950937,16,,
16,10122,47.5078125,48.4359375000004,101,1,1,0 days 00:00:47.507812,0 days 00:00:48.435938,16,,
17,10122,50.4946875000005,52.0640624999978,101,1,1,0 days 00:00:50.494688,0 days 00:00:52.064062,16,,
18,10122,53.8528124999994,57.2953125000004,101,1,1,0 days 00:00:53.852812,0 days 00:00:57.295313,16,,
19,10122,59.0334374999984,60.3159374999996,101,1,1,0 days 00:00:59.033437,0 days 00:01:00.315937,16,,
20,10122,61.1596874999996,61.7840625000008,101,1,1,0 days 00:01:01.159687,0 days 00:01:01.784063,5,,
21,10122,62.0709375000006,62.6615624999995,101,1,1,0 days 00:01:02.070938,0 days 00:01:02.661562,5,,
22,10122,62.9484374999993,63.7246874999983,101,1,1,0 days 00:01:02.948437,0 days 00:01:03.724687,5,,
23,10122,63.9440625000007,64.4503124999992,101,1,1,0 days 00:01:03.944063,0 days 00:01:04.450312,5,,
24,10122,64.4503124999992,65.4459375000006,101,1,1,0 days 00:01:04.450312,0 days 00:01:05.445938,6,,
25,10122,65.4459375000006,65.9521874999991,101,1,1,0 days 00:01:05.445938,0 days 00:01:05.952187,5,,
26,10122,65.9521874999991,66.4415625000001,101,1,1,0 days 00:01:05.952187,0 days 00:01:06.441563,6,,
27,10122,66.4415625000001,66.9478125000005,101,1,1,0 days 00:01:06.441563,0 days 00:01:06.947813,5,,
28,10122,66.9478125000005,67.5046875000007,101,1,1,0 days 00:01:06.947813,0 days 00:01:07.504688,0,,
29,10122,67.5046875000007,68.5340625000008,101,1,1,0 days 00:01:07.504688,0 days 00:01:08.534063,12,,
30,10122,69.1246874999997,71.1328125,101,1,1,0 days 00:01:09.124687,0 days 00:01:11.132812,12,,
31,10122,72.4828125000004,73.0059374999983,101,1,1,0 days 00:01:12.482813,0 days 00:01:13.005937,0,,
32,10122,73.0059374999983,73.4953124999993,101,1,1,0 days 00:01:13.005937,0 days 00:01:13.495312,12,,
33,10122,74.3896874999991,74.9971874999992,101,1,1,0 days 00:01:14.389687,0 days 00:01:14.997187,11,,
34,10122,74.9971874999992,76.5665625000001,101,1,1,0 days 00:01:14.997187,0 days 00:01:16.566563,12,,
35,10122,92.1590625000008,93.9815624999992,101,1,1,0 days 00:01:32.159063,0 days 00:01:33.981562,12,,
36,10122,97.4915624999994,97.997812499998,101,1,1,0 days 00:01:37.491562,0 days 00:01:37.997812,9,,
37,10122,97.997812499998,99.8878124999992,101,1,1,0 days 00:01:37.997812,0 days 00:01:39.887812,15,,
38,10122,105.507187499999,105.929062499999,101,1,1,0 days 00:01:45.507187,0 days 00:01:45.929062,15,,
39,10122,116.1215625,117.285937500001,101,1,1,0 days 00:01:56.121563,0 days 00:01:57.285938,16,,
40,10122,118.2309375,119.260312500001,101,1,1,0 days 00:01:58.230938,0 days 00:01:59.260313,16,,
41,10122,123.4959375,125.5040625,101,1,1,0 days 00:02:03.495937,0 days 00:02:05.504063,17,,
42,10122,125.5040625,129.0309375,101,1,1,0 days 00:02:05.504063,0 days 00:02:09.030937,15,,
43,10122,129.0309375,136.742812500001,101,1,1,0 days 00:02:09.030937,0 days 00:02:16.742813,4,,
44,10122,136.742812500001,142.885312500001,101,1,1,0 days 00:02:16.742813,0 days 00:02:22.885313,12,,
