,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker,Actual,
0,64578,2.12718750000204,4.50656249999884,101,1,1,0 days 00:00:02.127188,0 days 00:00:04.506562,0,,
1,64578,4.50656249999884,5.92406250000204,101,1,1,0 days 00:00:04.506562,0 days 00:00:05.924063,6,,
2,64578,6.66656250000233,12.9271875000049,101,1,1,0 days 00:00:06.666563,0 days 00:00:12.927188,6,,
3,64578,15.4078125000015,16.0153124999997,101,1,1,0 days 00:00:15.407813,0 days 00:00:16.015312,16,,
4,64578,17.8040624999994,19.9471875000017,101,1,1,0 days 00:00:17.804062,0 days 00:00:19.947188,5,,
5,64578,20.267812500002,20.9934375000012,101,1,1,0 days 00:00:20.267813,0 days 00:00:20.993438,20,,
6,64578,20.9934375000012,22.0059375000055,101,1,1,0 days 00:00:20.993438,0 days 00:00:22.005938,22,,
7,64578,22.4615625000006,25.1109375000015,101,1,1,0 days 00:00:22.461563,0 days 00:00:25.110938,0,,
8,64578,25.6678125000035,26.9671875000058,101,1,1,0 days 00:00:25.667813,0 days 00:00:26.967188,0,,
9,64578,29.1609374999971,29.6503125000017,101,1,1,0 days 00:00:29.160937,0 days 00:00:29.650313,22,,
10,64578,48.1453124999971,48.6009374999994,101,1,1,0 days 00:00:48.145312,0 days 00:00:48.600937,0,,
11,64578,49.7146875000035,50.1703125000058,101,1,1,0 days 00:00:49.714688,0 days 00:00:50.170313,0,,
12,64578,53.9671875000058,55.6715624999997,101,1,1,0 days 00:00:53.967188,0 days 00:00:55.671562,22,,
13,64578,56.8021875000049,57.2240625000049,101,1,1,0 days 00:00:56.802188,0 days 00:00:57.224063,22,,
14,64578,64.2103124999994,65.1215624999968,101,1,1,0 days 00:01:04.210312,0 days 00:01:05.121562,0,,
15,64578,65.4928125000006,65.9990624999991,101,1,1,0 days 00:01:05.492813,0 days 00:01:05.999062,6,,
16,64578,68.1590625000026,68.9521874999991,101,1,1,0 days 00:01:08.159063,0 days 00:01:08.952187,0,,
17,64578,68.9521874999991,70.6734375000015,101,1,1,0 days 00:01:08.952187,0 days 00:01:10.673438,1,,
18,64578,75.1790624999994,76.2759375000023,101,1,1,0 days 00:01:15.179062,0 days 00:01:16.275938,26,,
