,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker,Actual,
0,89388,106.680937500016,109.448437500017,101,1,1,0 days 00:01:46.680938,0 days 00:01:49.448438,16,,
1,89388,109.448437500017,110.61281250001,101,1,1,0 days 00:01:49.448438,0 days 00:01:50.612813,9,,
2,89388,111.642187500009,113.515312500007,101,1,1,0 days 00:01:51.642188,0 days 00:01:53.515313,9,,
3,89388,116.451562500006,117.413437500014,101,1,1,0 days 00:01:56.451563,0 days 00:01:57.413438,16,,
4,89388,117.413437500014,118.949062500018,101,1,1,0 days 00:01:57.413438,0 days 00:01:58.949063,9,,
5,89388,119.05031250001,119.505937500013,101,1,1,0 days 00:01:59.050313,0 days 00:01:59.505938,20,,
6,89388,119.505937500013,119.927812500013,101,1,1,0 days 00:01:59.505938,0 days 00:01:59.927813,14,,
7,89388,120.501562500009,122.408437500009,101,1,1,0 days 00:02:00.501563,0 days 00:02:02.408438,1,,
8,89388,123.825937500005,124.450312500005,101,1,1,0 days 00:02:03.825938,0 days 00:02:04.450313,14,,
9,89388,124.450312500005,125.445937500015,101,1,1,0 days 00:02:04.450313,0 days 00:02:05.445938,1,,
10,89388,125.445937500015,126.441562500011,101,1,1,0 days 00:02:05.445938,0 days 00:02:06.441563,2,,
11,89388,126.441562500011,127.943437500013,101,1,1,0 days 00:02:06.441563,0 days 00:02:07.943438,1,,
12,89388,127.943437500013,128.449687500004,101,1,1,0 days 00:02:07.943438,0 days 00:02:08.449688,19,,
13,89388,128.449687500004,130.44093750001,101,1,1,0 days 00:02:08.449688,0 days 00:02:10.440938,14,,
14,89388,130.44093750001,131.520937500012,101,1,1,0 days 00:02:10.440938,0 days 00:02:11.520938,0,,
15,89388,131.774062500015,136.566562500011,101,1,1,0 days 00:02:11.774063,0 days 00:02:16.566563,0,,
16,89388,137.494687500017,139.806562500016,101,1,1,0 days 00:02:17.494688,0 days 00:02:19.806563,0,,
17,89388,140.498437500006,141.004687500012,101,1,1,0 days 00:02:20.498438,0 days 00:02:21.004688,5,,
18,89388,141.494062500016,141.915937500016,101,1,1,0 days 00:02:21.494063,0 days 00:02:21.915938,21,,
19,89388,142.962187500016,144.008437500015,101,1,1,0 days 00:02:22.962188,0 days 00:02:24.008438,21,,
20,89388,144.042187500017,146.505937500013,101,1,1,0 days 00:02:24.042188,0 days 00:02:26.505938,21,,
21,89388,146.944687500014,147.501562500009,101,1,1,0 days 00:02:26.944688,0 days 00:02:27.501563,9,,
22,89388,147.585937500015,149.442187500012,101,1,1,0 days 00:02:27.585938,0 days 00:02:29.442188,9,,
23,89388,149.442187500012,150.910312500011,101,1,1,0 days 00:02:29.442188,0 days 00:02:30.910313,21,,
24,89388,152.007187500014,153.272812500014,101,1,1,0 days 00:02:32.007188,0 days 00:02:33.272813,21,,
25,89388,153.492187500015,154.504687500012,101,1,1,0 days 00:02:33.492188,0 days 00:02:34.504688,21,,
26,89388,154.555312500015,154.994062500016,101,1,1,0 days 00:02:34.555313,0 days 00:02:34.994063,21,,
27,89388,156.445312500015,159.145312500012,101,1,1,0 days 00:02:36.445313,0 days 00:02:39.145313,9,,
28,89388,159.600937500014,162.50343750001,101,1,1,0 days 00:02:39.600938,0 days 00:02:42.503438,9,,
29,89388,162.50343750001,163.802812500013,101,1,1,0 days 00:02:42.503438,0 days 00:02:43.802813,21,,
30,89388,164.477812500016,166.317187500012,101,1,1,0 days 00:02:44.477813,0 days 00:02:46.317188,21,,
31,89388,168.983437500006,174.450937500005,101,1,1,0 days 00:02:48.983438,0 days 00:02:54.450938,9,,
32,89388,174.94031250001,175.446562500016,101,1,1,0 days 00:02:54.940313,0 days 00:02:55.446563,6,,
33,89388,176.070937500015,177.235312500008,101,1,1,0 days 00:02:56.070938,0 days 00:02:57.235313,4,,
34,89388,177.285937500012,177.944062500013,101,1,1,0 days 00:02:57.285938,0 days 00:02:57.944063,4,,
35,89388,177.994687500017,178.500937500008,101,1,1,0 days 00:02:57.994688,0 days 00:02:58.500938,4,,
36,89388,178.500937500008,178.939687500009,101,1,1,0 days 00:02:58.500938,0 days 00:02:58.939688,21,,
37,89388,182.75343750001,183.833437500012,101,1,1,0 days 00:03:02.753438,0 days 00:03:03.833438,21,,
38,89388,184.947187500016,186.044062500005,101,1,1,0 days 00:03:04.947188,0 days 00:03:06.044063,9,,
39,89388,186.870937500018,189.722812500011,101,1,1,0 days 00:03:06.870938,0 days 00:03:09.722813,9,,
40,89388,189.739687500012,190.819687500014,101,1,1,0 days 00:03:09.739688,0 days 00:03:10.819688,9,,
41,89388,191.950312500005,192.996562500004,101,1,1,0 days 00:03:11.950313,0 days 00:03:12.996563,0,,
42,89388,194.498437500006,195.004687500012,101,1,1,0 days 00:03:14.498438,0 days 00:03:15.004688,7,,
43,89388,195.696562500016,203.509687500016,101,1,1,0 days 00:03:15.696563,0 days 00:03:23.509688,21,,
44,89388,204.977812500016,206.277187500018,101,1,1,0 days 00:03:24.977813,0 days 00:03:26.277188,21,,
45,89388,209.618437500016,210.546562500007,101,1,1,0 days 00:03:29.618438,0 days 00:03:30.546563,21,,
46,89388,220.08093750001,220.72218750001,101,1,1,0 days 00:03:40.080938,0 days 00:03:40.722188,4,,
47,89388,239.352187500015,240.398437500014,101,1,1,0 days 00:03:59.352188,0 days 00:04:00.398438,4,,
48,89388,242.406562500008,243.368437500016,101,1,1,0 days 00:04:02.406563,0 days 00:04:03.368438,4,,
49,89388,246.389062500006,248.127187500009,101,1,1,0 days 00:04:06.389063,0 days 00:04:08.127188,0,,
50,89388,253.020937500012,256.227187500015,101,1,1,0 days 00:04:13.020938,0 days 00:04:16.227188,4,,
51,89388,258.572812500017,260.952187500006,101,1,1,0 days 00:04:18.572813,0 days 00:04:20.952188,9,,
52,89388,263.314687500009,265.710937500014,101,1,1,0 days 00:04:23.314688,0 days 00:04:25.710938,21,,
53,89388,277.557187500017,278.350312500013,101,1,1,0 days 00:04:37.557188,0 days 00:04:38.350313,21,,
54,89388,281.556562500016,282.231562500005,101,1,1,0 days 00:04:41.556563,0 days 00:04:42.231563,21,,
55,89388,291.951562500006,293.200312500005,101,1,1,0 days 00:04:51.951563,0 days 00:04:53.200313,9,,
56,89388,294.195937500015,294.735937500009,101,1,1,0 days 00:04:54.195938,0 days 00:04:54.735938,21,,
57,89388,300.996562500004,301.992187500014,101,1,1,0 days 00:05:00.996563,0 days 00:05:01.992188,21,,
58,89388,303.949687500004,306.970312500009,101,1,1,0 days 00:05:03.949688,0 days 00:05:06.970313,9,,
59,89388,309.197812500017,311.729062500017,101,1,1,0 days 00:05:09.197813,0 days 00:05:11.729063,9,,
60,89388,335.944687500014,338.222812500011,101,1,1,0 days 00:05:35.944688,0 days 00:05:38.222813,21,,
61,89388,353.562187500007,354.945937500015,101,1,1,0 days 00:05:53.562188,0 days 00:05:54.945938,4,,
62,89388,354.945937500015,355.384687500016,101,1,1,0 days 00:05:54.945938,0 days 00:05:55.384688,0,,
63,89388,357.055312500015,358.439062500009,101,1,1,0 days 00:05:57.055313,0 days 00:05:58.439063,0,,
64,89388,361.527187500018,362.826562500006,101,1,1,0 days 00:06:01.527188,0 days 00:06:02.826563,9,,
65,89388,366.640312500007,367.703437500008,101,1,1,0 days 00:06:06.640313,0 days 00:06:07.703438,9,,
66,89388,371.078437500008,372.529687500006,101,1,1,0 days 00:06:11.078438,0 days 00:06:12.529688,9,,
67,89388,373.710937500015,374.436562500006,101,1,1,0 days 00:06:13.710938,0 days 00:06:14.436563,9,,
68,89388,374.689687500009,378.773437500015,101,1,1,0 days 00:06:14.689688,0 days 00:06:18.773438,0,,
69,89388,379.566562500011,381.473437500012,101,1,1,0 days 00:06:19.566563,0 days 00:06:21.473438,0,,
70,89388,382.772812500014,385.000312500008,101,1,1,0 days 00:06:22.772813,0 days 00:06:25.000313,4,,
71,89388,387.042187500018,388.172812500008,101,1,1,0 days 00:06:27.042188,0 days 00:06:28.172813,21,,
72,89388,388.729687500017,389.25281250001,101,1,1,0 days 00:06:28.729688,0 days 00:06:29.252813,21,,
73,89388,390.704062500008,391.750312500008,101,1,1,0 days 00:06:30.704063,0 days 00:06:31.750313,21,,
74,89388,392.999062500006,395.277187500018,101,1,1,0 days 00:06:32.999063,0 days 00:06:35.277188,4,,
75,89388,400.407187500008,402.179062500014,101,1,1,0 days 00:06:40.407188,0 days 00:06:42.179063,4,,
76,89388,403.495312500018,405.267187500009,101,1,1,0 days 00:06:43.495313,0 days 00:06:45.267188,4,,
77,89388,406.245937500018,408.254062500011,101,1,1,0 days 00:06:46.245938,0 days 00:06:48.254063,4,,
78,89388,409.654687500006,410.447812500017,101,1,1,0 days 00:06:49.654688,0 days 00:06:50.447813,4,,
79,89388,410.970937500009,414.227812500016,101,1,1,0 days 00:06:50.970938,0 days 00:06:54.227813,4,,
80,89388,416.607187500005,417.484687500008,101,1,1,0 days 00:06:56.607188,0 days 00:06:57.484688,0,,
