,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker,Actual,
0,44921.5,19.5190625000032,20.0084375000006,101,1,1,0 days 00:00:19.519063,0 days 00:00:20.008438,0,,
1,44921.5,89.0778124999997,96.9921875,101,1,1,0 days 00:01:29.077812,0 days 00:01:36.992188,0,,
2,44921.5,96.9921875,98.8315625000032,101,1,1,0 days 00:01:36.992188,0 days 00:01:38.831563,2,,
3,44921.5,102.324687499997,107.606562499997,101,1,1,0 days 00:01:42.324687,0 days 00:01:47.606562,2,,
4,44921.5,152.2578125,156.105312500004,101,1,1,0 days 00:02:32.257812,0 days 00:02:36.105313,5,,
5,44921.5,158.940312500003,159.345312500001,101,1,1,0 days 00:02:38.940313,0 days 00:02:39.345313,9,,
6,44921.5,159.446562500001,160.999062499999,101,1,1,0 days 00:02:39.446563,0 days 00:02:40.999062,9,,
7,44921.5,162.399687500001,163.412187499998,101,1,1,0 days 00:02:42.399688,0 days 00:02:43.412187,9,,
8,44921.5,164.205312500002,166.264062499999,101,1,1,0 days 00:02:44.205313,0 days 00:02:46.264062,9,,
9,44921.5,167.7659375,169.504062499997,101,1,1,0 days 00:02:47.765938,0 days 00:02:49.504062,23,,
10,44921.5,169.504062499997,170.449062500004,101,1,1,0 days 00:02:49.504062,0 days 00:02:50.449063,22,,
11,44921.5,170.449062500004,170.938437500001,101,1,1,0 days 00:02:50.449063,0 days 00:02:50.938438,23,,
12,44921.5,180.574062500004,181.940937500003,101,1,1,0 days 00:03:00.574063,0 days 00:03:01.940938,2,,
13,44921.5,181.940937500003,190.952187499999,101,1,1,0 days 00:03:01.940938,0 days 00:03:10.952187,0,,
14,44921.5,192.842187499999,193.854687500003,101,1,1,0 days 00:03:12.842187,0 days 00:03:13.854688,0,,
15,44921.5,195.559062499997,196.065312500003,101,1,1,0 days 00:03:15.559062,0 days 00:03:16.065313,0,,
16,44921.5,197.567187499997,201.279687499999,101,1,1,0 days 00:03:17.567187,0 days 00:03:21.279687,0,,
17,44921.5,201.650937500002,207.776562500003,101,1,1,0 days 00:03:21.650938,0 days 00:03:27.776563,0,,
18,44921.5,209.464062500003,214.897812499999,101,1,1,0 days 00:03:29.464063,0 days 00:03:34.897812,0,,
19,44921.5,217.007187499999,219.892812500002,101,1,1,0 days 00:03:37.007187,0 days 00:03:39.892813,0,,
20,44921.5,335.064687500002,340.819062499999,101,1,1,0 days 00:05:35.064688,0 days 00:05:40.819062,0,,
21,44921.5,344.2109375,346.995312500003,101,1,1,0 days 00:05:44.210938,0 days 00:05:46.995313,0,,
22,44921.5,346.995312500003,348.0078125,101,1,1,0 days 00:05:46.995313,0 days 00:05:48.007812,23,,
23,44921.5,348.632187499999,350.150937500002,101,1,1,0 days 00:05:48.632187,0 days 00:05:50.150938,5,,
24,44921.5,350.758437500001,351.534687500003,101,1,1,0 days 00:05:50.758438,0 days 00:05:51.534688,5,,
25,44921.5,372.358437499999,375.024687500001,101,1,1,0 days 00:06:12.358437,0 days 00:06:15.024688,2,,
26,44921.5,375.800937499997,376.577187499999,101,1,1,0 days 00:06:15.800937,0 days 00:06:16.577187,0,,
27,44921.5,400.674687500003,401.096562500003,101,1,1,0 days 00:06:40.674688,0 days 00:06:41.096563,0,,
28,44921.5,529.059687499997,530.409687500003,101,1,1,0 days 00:08:49.059687,0 days 00:08:50.409688,1,,
29,44921.5,531.0003125,531.439062500002,101,1,1,0 days 00:08:51.000313,0 days 00:08:51.439063,10,,
