,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker
0,10122.0,1.0171874999978172,3.582187500000145,101,1,1,0 days 00:00:01.017187,0 days 00:00:03.582188,19
1,10122.0,3.582187500000145,4.729687499999272,101,1,1,0 days 00:00:03.582188,0 days 00:00:04.729687,16
2,10122.0,5.472187499999563,5.995312499999272,101,1,1,0 days 00:00:05.472187,0 days 00:00:05.995312,16
3,10122.0,5.995312499999272,9.2521874999984,101,1,1,0 days 00:00:05.995312,0 days 00:00:09.252187,19
4,10122.0,9.437812500000293,14.500312500000293,101,1,1,0 days 00:00:09.437813,0 days 00:00:14.500313,19
5,10122.0,14.500312500000293,17.4871875000008,101,1,1,0 days 00:00:14.500313,0 days 00:00:17.487188,16
6,10122.0,17.706562499999563,19.69781250000051,101,1,1,0 days 00:00:17.706562,0 days 00:00:19.697813,16
7,10122.0,20.77781250000044,22.71843749999971,101,1,1,0 days 00:00:20.777813,0 days 00:00:22.718437,16
8,10122.0,22.71843749999971,25.9246875000008,101,1,1,0 days 00:00:22.718437,0 days 00:00:25.924688,8
9,10122.0,25.9246875000008,28.57406249999985,101,1,1,0 days 00:00:25.924688,0 days 00:00:28.574062,5
10,10122.0,28.709062499998254,30.61593750000065,101,1,1,0 days 00:00:28.709062,0 days 00:00:30.615938,5
11,10122.0,30.936562499999127,31.493437499999345,101,1,1,0 days 00:00:30.936562,0 days 00:00:31.493437,19
12,10122.0,31.88156250000065,32.927812499998254,101,1,1,0 days 00:00:31.881563,0 days 00:00:32.927812,19
13,10122.0,34.29468749999796,35.00343749999956,101,1,1,0 days 00:00:34.294687,0 days 00:00:35.003437,19
14,10122.0,35.96531250000044,39.99843750000037,101,1,1,0 days 00:00:35.965313,0 days 00:00:39.998438,16
15,10122.0,40.23468750000029,46.95093749999796,101,1,1,0 days 00:00:40.234688,0 days 00:00:46.950937,16
16,10122.0,47.5078125,48.43593750000037,101,1,1,0 days 00:00:47.507812,0 days 00:00:48.435938,16
17,10122.0,50.49468750000051,52.06406249999782,101,1,1,0 days 00:00:50.494688,0 days 00:00:52.064062,16
18,10122.0,53.85281249999935,57.29531250000037,101,1,1,0 days 00:00:53.852812,0 days 00:00:57.295313,16
19,10122.0,59.0334374999984,60.31593749999956,101,1,1,0 days 00:00:59.033437,0 days 00:01:00.315937,16
20,10122.0,61.15968749999956,61.7840625000008,101,1,1,0 days 00:01:01.159687,0 days 00:01:01.784063,5
21,10122.0,62.07093750000058,62.66156249999949,101,1,1,0 days 00:01:02.070938,0 days 00:01:02.661562,5
22,10122.0,62.94843749999927,63.724687499998254,101,1,1,0 days 00:01:02.948437,0 days 00:01:03.724687,5
23,10122.0,63.944062500000655,64.4503124999992,101,1,1,0 days 00:01:03.944063,0 days 00:01:04.450312,5
24,10122.0,64.4503124999992,65.44593750000058,101,1,1,0 days 00:01:04.450312,0 days 00:01:05.445938,6
25,10122.0,65.44593750000058,65.95218749999913,101,1,1,0 days 00:01:05.445938,0 days 00:01:05.952187,5
26,10122.0,65.95218749999913,66.44156250000015,101,1,1,0 days 00:01:05.952187,0 days 00:01:06.441563,6
27,10122.0,66.44156250000015,66.94781250000051,101,1,1,0 days 00:01:06.441563,0 days 00:01:06.947813,5
28,10122.0,66.94781250000051,67.50468750000073,101,1,1,0 days 00:01:06.947813,0 days 00:01:07.504688,0
29,10122.0,67.50468750000073,68.5340625000008,101,1,1,0 days 00:01:07.504688,0 days 00:01:08.534063,12
30,10122.0,69.12468749999971,71.1328125,101,1,1,0 days 00:01:09.124687,0 days 00:01:11.132812,12
31,10122.0,72.48281250000036,73.00593749999825,101,1,1,0 days 00:01:12.482813,0 days 00:01:13.005937,0
32,10122.0,73.00593749999825,73.49531249999927,101,1,1,0 days 00:01:13.005937,0 days 00:01:13.495312,12
33,10122.0,74.38968749999913,74.9971874999992,101,1,1,0 days 00:01:14.389687,0 days 00:01:14.997187,11
34,10122.0,74.9971874999992,76.56656250000015,101,1,1,0 days 00:01:14.997187,0 days 00:01:16.566563,12
35,10122.0,92.1590625000008,93.9815624999992,101,1,1,0 days 00:01:32.159063,0 days 00:01:33.981562,12
36,10122.0,97.49156249999942,97.99781249999796,101,1,1,0 days 00:01:37.491562,0 days 00:01:37.997812,9
37,10122.0,97.99781249999796,99.8878124999992,101,1,1,0 days 00:01:37.997812,0 days 00:01:39.887812,15
38,10122.0,105.50718749999942,105.92906249999942,101,1,1,0 days 00:01:45.507187,0 days 00:01:45.929062,15
39,10122.0,116.12156250000044,117.28593750000071,101,1,1,0 days 00:01:56.121563,0 days 00:01:57.285938,16
40,10122.0,118.23093750000044,119.26031250000052,101,1,1,0 days 00:01:58.230938,0 days 00:01:59.260313,16
41,10122.0,123.49593749999984,125.50406250000016,101,1,1,0 days 00:02:03.495937,0 days 00:02:05.504063,17
42,10122.0,125.50406250000016,129.0309374999997,101,1,1,0 days 00:02:05.504063,0 days 00:02:09.030937,15
43,10122.0,129.0309374999997,136.74281250000058,101,1,1,0 days 00:02:09.030937,0 days 00:02:16.742813,4
44,10122.0,136.74281250000058,142.8853125000005,101,1,1,0 days 00:02:16.742813,0 days 00:02:22.885313,12
45,10122.0,143.98218749999796,145.46718750000036,101,1,1,0 days 00:02:23.982187,0 days 00:02:25.467188,12
46,10122.0,145.4840624999997,150.39468750000017,101,1,1,0 days 00:02:25.484062,0 days 00:02:30.394688,12
47,10122.0,152.41968749999796,157.5834374999995,101,1,1,0 days 00:02:32.419687,0 days 00:02:37.583437,12
48,10122.0,158.2753124999981,159.28781250000063,101,1,1,0 days 00:02:38.275312,0 days 00:02:39.287813,12
49,10122.0,159.52406250000058,160.03031249999913,101,1,1,0 days 00:02:39.524063,0 days 00:02:40.030312,12
50,10122.0,160.5703125,162.3253124999992,101,1,1,0 days 00:02:40.570312,0 days 00:02:42.325312,12
51,10122.0,163.32093750000058,163.99593749999983,101,1,1,0 days 00:02:43.320938,0 days 00:02:43.995937,12
52,10122.0,163.99593749999983,167.3203125,101,1,1,0 days 00:02:43.995937,0 days 00:02:47.320312,19
53,10122.0,167.82656250000036,169.44656249999937,101,1,1,0 days 00:02:47.826563,0 days 00:02:49.446562,19
54,10122.0,169.44656249999937,170.44218750000073,101,1,1,0 days 00:02:49.446562,0 days 00:02:50.442188,5
55,10122.0,174.0028125000008,174.40781249999782,101,1,1,0 days 00:02:54.002813,0 days 00:02:54.407812,24
56,10122.0,174.44156250000017,175.50468750000073,101,1,1,0 days 00:02:54.441563,0 days 00:02:55.504688,24
57,10122.0,178.4240624999984,179.70656249999956,101,1,1,0 days 00:02:58.424062,0 days 00:02:59.706562,16
58,10122.0,179.70656249999956,181.00593749999825,101,1,1,0 days 00:02:59.706562,0 days 00:03:01.005937,21
59,10122.0,181.2084374999995,182.8959374999995,101,1,1,0 days 00:03:01.208437,0 days 00:03:02.895937,3
60,10122.0,184.36406250000076,185.62968750000076,101,1,1,0 days 00:03:04.364063,0 days 00:03:05.629688,24
61,10122.0,190.30406249999945,192.1096875000003,101,1,1,0 days 00:03:10.304062,0 days 00:03:12.109688,24
62,10122.0,193.81406249999785,194.37093749999983,101,1,1,0 days 00:03:13.814062,0 days 00:03:14.370937,24
63,10122.0,195.5184375000008,196.8178124999995,101,1,1,0 days 00:03:15.518438,0 days 00:03:16.817812,24
64,10122.0,197.47593749999945,197.9315624999981,101,1,1,0 days 00:03:17.475937,0 days 00:03:17.931562,24
65,10122.0,198.6065624999992,199.65281250000044,101,1,1,0 days 00:03:18.606562,0 days 00:03:19.652813,24
66,10122.0,201.32343749999927,201.9478125000005,101,1,1,0 days 00:03:21.323437,0 days 00:03:21.947813,24
67,10122.0,201.9478125000005,202.9940624999981,101,1,1,0 days 00:03:21.947813,0 days 00:03:22.994062,22
68,10122.0,207.4828125000004,209.4403125000008,101,1,1,0 days 00:03:27.482813,0 days 00:03:29.440313,24
69,10122.0,209.76093749999927,211.44843749999927,101,1,1,0 days 00:03:29.760937,0 days 00:03:31.448437,12
70,10122.0,211.44843749999927,212.4946875000005,101,1,1,0 days 00:03:31.448437,0 days 00:03:32.494688,0
71,10122.0,214.41843750000044,215.75156249999785,101,1,1,0 days 00:03:34.418438,0 days 00:03:35.751562,16
72,10122.0,218.35031250000063,219.54843749999785,101,1,1,0 days 00:03:38.350313,0 days 00:03:39.548437,25
73,10122.0,230.5003125000003,233.6559374999997,101,1,1,0 days 00:03:50.500313,0 days 00:03:53.655937,25
74,10122.0,234.263437499998,234.73593749999785,101,1,1,0 days 00:03:54.263437,0 days 00:03:54.735937,25
75,10122.0,234.73593749999785,236.4403125000008,101,1,1,0 days 00:03:54.735937,0 days 00:03:56.440313,12
76,10122.0,236.4403125000008,241.09781250000012,101,1,1,0 days 00:03:56.440313,0 days 00:04:01.097813,23
77,10122.0,241.62093749999983,242.1271874999984,101,1,1,0 days 00:04:01.620937,0 days 00:04:02.127187,23
