,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker
0,64578.0,2.1271875000020373,4.506562499998836,101,1,1,0 days 00:00:02.127188,0 days 00:00:04.506562,0
1,64578.0,4.506562499998836,5.924062500002037,101,1,1,0 days 00:00:04.506562,0 days 00:00:05.924063,6
2,64578.0,6.666562500002328,12.927187500004948,101,1,1,0 days 00:00:06.666563,0 days 00:00:12.927188,6
3,64578.0,15.407812500001455,16.01531249999971,101,1,1,0 days 00:00:15.407813,0 days 00:00:16.015312,16
4,64578.0,17.804062499999418,19.947187500001743,101,1,1,0 days 00:00:17.804062,0 days 00:00:19.947188,5
5,64578.0,20.26781250000204,20.993437500001164,101,1,1,0 days 00:00:20.267813,0 days 00:00:20.993438,20
6,64578.0,20.993437500001164,22.00593750000553,101,1,1,0 days 00:00:20.993438,0 days 00:00:22.005938,22
7,64578.0,22.461562500000586,25.11093750000145,101,1,1,0 days 00:00:22.461563,0 days 00:00:25.110938,0
8,64578.0,25.66781250000349,26.96718750000582,101,1,1,0 days 00:00:25.667813,0 days 00:00:26.967188,0
9,64578.0,29.16093749999709,29.650312500001743,101,1,1,0 days 00:00:29.160937,0 days 00:00:29.650313,22
10,64578.0,48.14531249999709,48.60093749999942,101,1,1,0 days 00:00:48.145312,0 days 00:00:48.600937,0
11,64578.0,49.71468750000349,50.17031250000582,101,1,1,0 days 00:00:49.714688,0 days 00:00:50.170313,0
12,64578.0,53.96718750000582,55.67156249999971,101,1,1,0 days 00:00:53.967188,0 days 00:00:55.671562,22
13,64578.0,56.80218750000495,57.22406250000495,101,1,1,0 days 00:00:56.802188,0 days 00:00:57.224063,22
14,64578.0,64.21031249999942,65.1215624999968,101,1,1,0 days 00:01:04.210312,0 days 00:01:05.121562,0
15,64578.0,65.49281250000058,65.99906249999913,101,1,1,0 days 00:01:05.492813,0 days 00:01:05.999062,6
16,64578.0,68.15906250000262,68.95218749999913,101,1,1,0 days 00:01:08.159063,0 days 00:01:08.952187,0
17,64578.0,68.95218749999913,70.67343750000146,101,1,1,0 days 00:01:08.952187,0 days 00:01:10.673438,1
18,64578.0,75.17906249999942,76.27593750000233,101,1,1,0 days 00:01:15.179062,0 days 00:01:16.275938,26
19,64578.0,95.8003125000032,104.6596875000032,101,1,1,0 days 00:01:35.800313,0 days 00:01:44.659688,0
20,64578.0,108.67593749999652,111.00468749999708,101,1,1,0 days 00:01:48.675937,0 days 00:01:51.004687,0
