,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker
0,89388.0,106.68093750001572,109.44843750001746,101,1,1,0 days 00:01:46.680938,0 days 00:01:49.448438,16
1,89388.0,109.44843750001746,110.61281250001048,101,1,1,0 days 00:01:49.448438,0 days 00:01:50.612813,9
2,89388.0,111.64218750000872,113.51531250000698,101,1,1,0 days 00:01:51.642188,0 days 00:01:53.515313,9
3,89388.0,116.45156250000582,117.41343750001396,101,1,1,0 days 00:01:56.451563,0 days 00:01:57.413438,16
4,89388.0,117.41343750001396,118.94906250001804,101,1,1,0 days 00:01:57.413438,0 days 00:01:58.949063,9
5,89388.0,119.05031250001048,119.5059375000128,101,1,1,0 days 00:01:59.050313,0 days 00:01:59.505938,20
6,89388.0,119.5059375000128,119.9278125000128,101,1,1,0 days 00:01:59.505938,0 days 00:01:59.927813,14
7,89388.0,120.50156250000872,122.40843750000931,101,1,1,0 days 00:02:00.501563,0 days 00:02:02.408438,1
8,89388.0,123.82593750000524,124.45031250000466,101,1,1,0 days 00:02:03.825938,0 days 00:02:04.450313,14
9,89388.0,124.45031250000466,125.44593750001512,101,1,1,0 days 00:02:04.450313,0 days 00:02:05.445938,1
10,89388.0,125.44593750001512,126.44156250001106,101,1,1,0 days 00:02:05.445938,0 days 00:02:06.441563,2
11,89388.0,126.44156250001106,127.9434375000128,101,1,1,0 days 00:02:06.441563,0 days 00:02:07.943438,1
12,89388.0,127.9434375000128,128.44968750000407,101,1,1,0 days 00:02:07.943438,0 days 00:02:08.449688,19
13,89388.0,128.44968750000407,130.44093750001048,101,1,1,0 days 00:02:08.449688,0 days 00:02:10.440938,14
14,89388.0,130.44093750001048,131.52093750001222,101,1,1,0 days 00:02:10.440938,0 days 00:02:11.520938,0
15,89388.0,131.77406250001513,136.56656250001106,101,1,1,0 days 00:02:11.774063,0 days 00:02:16.566563,0
16,89388.0,137.49468750001688,139.8065625000163,101,1,1,0 days 00:02:17.494688,0 days 00:02:19.806563,0
17,89388.0,140.49843750000582,141.00468750001164,101,1,1,0 days 00:02:20.498438,0 days 00:02:21.004688,5
18,89388.0,141.4940625000163,141.9159375000163,101,1,1,0 days 00:02:21.494063,0 days 00:02:21.915938,21
19,89388.0,142.96218750001572,144.00843750001513,101,1,1,0 days 00:02:22.962188,0 days 00:02:24.008438,21
20,89388.0,144.04218750001746,146.5059375000128,101,1,1,0 days 00:02:24.042188,0 days 00:02:26.505938,21
21,89388.0,146.94468750001397,147.50156250000873,101,1,1,0 days 00:02:26.944688,0 days 00:02:27.501563,9
22,89388.0,147.58593750001455,149.44218750001164,101,1,1,0 days 00:02:27.585938,0 days 00:02:29.442188,9
23,89388.0,149.44218750001164,150.91031250001106,101,1,1,0 days 00:02:29.442188,0 days 00:02:30.910313,21
