,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker
0,44921.5,19.5190625000032,20.008437500000586,101,1,1,0 days 00:00:19.519063,0 days 00:00:20.008438,0
1,44921.5,89.07781249999971,96.9921875,101,1,1,0 days 00:01:29.077812,0 days 00:01:36.992188,0
2,44921.5,96.9921875,98.8315625000032,101,1,1,0 days 00:01:36.992188,0 days 00:01:38.831563,2
3,44921.5,102.3246874999968,107.60656249999738,101,1,1,0 days 00:01:42.324687,0 days 00:01:47.606562,2
4,44921.5,152.2578125,156.1053125000035,101,1,1,0 days 00:02:32.257812,0 days 00:02:36.105313,5
5,44921.5,158.94031250000262,159.34531250000146,101,1,1,0 days 00:02:38.940313,0 days 00:02:39.345313,9
6,44921.5,159.44656250000116,160.99906249999913,101,1,1,0 days 00:02:39.446563,0 days 00:02:40.999062,9
7,44921.5,162.39968750000116,163.41218749999825,101,1,1,0 days 00:02:42.399688,0 days 00:02:43.412187,9
8,44921.5,164.20531250000204,166.26406249999854,101,1,1,0 days 00:02:44.205313,0 days 00:02:46.264062,9
9,44921.5,167.7659375000003,169.5040624999965,101,1,1,0 days 00:02:47.765938,0 days 00:02:49.504062,23
10,44921.5,169.5040624999965,170.4490625000035,101,1,1,0 days 00:02:49.504062,0 days 00:02:50.449063,22
11,44921.5,170.4490625000035,170.93843750000087,101,1,1,0 days 00:02:50.449063,0 days 00:02:50.938438,23
12,44921.5,180.5740625000035,181.9409375000032,101,1,1,0 days 00:03:00.574063,0 days 00:03:01.940938,2
13,44921.5,181.9409375000032,190.95218749999916,101,1,1,0 days 00:03:01.940938,0 days 00:03:10.952187,0
14,44921.5,192.84218749999852,193.8546875000029,101,1,1,0 days 00:03:12.842187,0 days 00:03:13.854688,0
15,44921.5,195.5590624999968,196.06531250000265,101,1,1,0 days 00:03:15.559062,0 days 00:03:16.065313,0
16,44921.5,197.5671874999971,201.27968749999852,101,1,1,0 days 00:03:17.567187,0 days 00:03:21.279687,0
17,44921.5,201.65093750000236,207.7765625000029,101,1,1,0 days 00:03:21.650938,0 days 00:03:27.776563,0
18,44921.5,209.4640625000029,214.89781249999945,101,1,1,0 days 00:03:29.464063,0 days 00:03:34.897812,0
19,44921.5,217.00718749999945,219.89281250000204,101,1,1,0 days 00:03:37.007187,0 days 00:03:39.892813,0
20,44921.5,335.06468750000204,340.81906249999884,101,1,1,0 days 00:05:35.064688,0 days 00:05:40.819062,0
21,44921.5,344.2109375,346.9953125000029,101,1,1,0 days 00:05:44.210938,0 days 00:05:46.995313,0
22,44921.5,346.9953125000029,348.0078125,101,1,1,0 days 00:05:46.995313,0 days 00:05:48.007812,23
23,44921.5,348.6321874999994,350.1509375000023,101,1,1,0 days 00:05:48.632187,0 days 00:05:50.150938,5
24,44921.5,350.7584375000006,351.5346875000032,101,1,1,0 days 00:05:50.758438,0 days 00:05:51.534688,5
25,44921.5,372.3584374999991,375.0246875000012,101,1,1,0 days 00:06:12.358437,0 days 00:06:15.024688,2
26,44921.5,375.8009374999965,376.5771874999991,101,1,1,0 days 00:06:15.800937,0 days 00:06:16.577187,0
27,44921.5,400.6746875000026,401.0965625000026,101,1,1,0 days 00:06:40.674688,0 days 00:06:41.096563,0
28,44921.5,529.0596874999974,530.4096875000032,101,1,1,0 days 00:08:49.059687,0 days 00:08:50.409688,1
29,44921.5,531.0003125000003,531.4390625000015,101,1,1,0 days 00:08:51.000313,0 days 00:08:51.439063,10
30,44921.5,531.4390625000015,531.9959375000035,101,1,1,0 days 00:08:51.439063,0 days 00:08:51.995938,1
31,44921.5,537.9359374999985,539.5221874999988,101,1,1,0 days 00:08:57.935937,0 days 00:08:59.522187,1
32,44921.5,542.4415624999965,546.5084375000006,101,1,1,0 days 00:09:02.441562,0 days 00:09:06.508438,10
33,44921.5,547.4365624999991,548.0440624999974,101,1,1,0 days 00:09:07.436562,0 days 00:09:08.044062,1
34,44921.5,547.8078125000029,548.4996874999997,101,1,1,0 days 00:09:07.807813,0 days 00:09:08.499687,10
35,44921.5,548.4996874999997,550.5078125,101,1,1,0 days 00:09:08.499687,0 days 00:09:10.507812,23
36,44921.5,558.3209375000006,559.1309374999983,101,1,1,0 days 00:09:18.320938,0 days 00:09:19.130937,1
37,44921.5,572.0065624999988,574.0315625000003,101,1,1,0 days 00:09:32.006562,0 days 00:09:34.031563,1
38,44921.5,574.4028124999968,576.0565625000017,101,1,1,0 days 00:09:34.402812,0 days 00:09:36.056563,1
39,44921.5,577.5078125,579.1278125000026,101,1,1,0 days 00:09:37.507812,0 days 00:09:39.127813,1
40,44921.5,580.595937500002,585.6921874999971,101,1,1,0 days 00:09:40.595938,0 days 00:09:45.692187,0
41,44921.5,588.1053125000035,590.7378125000032,101,1,1,0 days 00:09:48.105313,0 days 00:09:50.737813,9
