season,episode_number,title,rating,total_votes
1,1,Diamond of the First Water,7.2,3121
1,2,Shock and Delight,7.5,2689
1,3,Art of the Swoon,7.6,2564
1,4,An Affair of Honor,7.9,2559
1,5,The Duke and I,8.0,2696
1,6,Swish,7.5,2412
1,7,Oceans Apart,7.6,2324
1,8,After the Rain,7.9,2530
2,1,Capital R Rake,7.6,1801
2,2,Off to the Races,7.6,1533
2,3,A Bee in Your Bonnet,8.2,1679
2,4,Victory,8.1,1553
2,5,An Unthinkable Fate,8.2,1532
2,6,The Choice,7.9,1504
2,7,Harmony,8.2,1539
2,8,The Viscount Who Loved Me,8.4,1898
