season,episode_number,title,rating,total_votes
1,1,Chapter One,7.8,822
1,2,Chapter Two,7.9,619
1,3,Chapter Three,8.0,543
1,4,Chapter Four,8.1,514
1,5,Chapter Five,7.8,475
1,6,Chapter Six,8.1,485
1,7,Chapter Seven,8.0,444
1,8,Chapter Eight,7.8,431
1,9,Chapter Nine,8.2,426
1,10,Chapter Ten,8.3,411
1,11,Chapter Eleven,7.9,386
1,12,Chapter Twelve,8.7,440
1,13,Chapter Thirteen,8.1,382
1,14,Chapter Fourteen,8.4,393
1,15,Chapter Fifteen,8.0,363
1,16,Chapter Sixteen,8.0,363
1,17,Chapter Seventeen,7.9,347
1,18,Chapter Eighteen,8.0,353
1,19,Chapter Nineteen,8.0,350
1,20,Chapter Twenty,8.0,346
1,21,Chapter Twenty-One,8.0,336
1,22,Chapter Twenty-Two,8.8,447
2,1,Chapter Twenty-Three,8.4,377
2,2,Chapter Twenty-Four,8.1,340
2,3,Chapter Twenty-Five,8.0,326
2,4,Chapter Twenty-Six,8.0,327
2,5,Chapter Twenty-Seven,8.1,340
2,6,Chapter Twenty-Eight,8.0,317
2,7,Chapter Twenty-Nine,7.7,291
2,8,Chapter Thirty,7.9,302
2,9,Chapter Thirty-One,7.7,289
2,10,Chapter Thirty-Two,7.6,282
2,11,Chapter Thirty-Three,7.8,290
2,12,Chapter Thirty-Four,8.0,289
2,13,Chapter Thirty-Five,7.7,283
2,14,Chapter Thirty-Six,8.0,294
2,15,Chapter Thirty-Seven,7.5,277
2,16,Chapter Thirty-Eight,7.9,263
2,17,Chapter Thirty-Nine,8.0,282
2,18,Chapter Forty,7.7,274
2,19,Chapter Forty-One,7.6,258
2,20,Chapter Forty-Two,7.8,259
2,21,Chapter Forty-Three,7.8,269
2,22,Chapter Forty-Four,9.0,473
