season,episode_number,title,rating,total_votes
1,1,Descenso,8.8,8719
1,2,The Sword of Simón Bolivar,8.4,6581
1,3,The Men of Always,8.4,6053
1,4,The Palace in Flames,8.7,5970
1,5,There Will Be a Future,8.3,5535
1,6,Explosivos,9.0,6171
1,7,You Will Cry Tears of Blood,8.5,5347
1,8,La Gran Mentira,8.9,5733
1,9,La Catedral,8.6,5248
1,10,Despegue,8.8,5680
2,1,Free at Last,8.4,4911
2,2,Cambalache,8.5,4660
2,3,Our Man in Madrid,8.6,4539
2,4,"The Good, the Bad, and the Dead",9.3,5980
2,5,The Enemies of My Enemy,8.5,4324
2,6,Los Pepes,9.1,5071
2,7,Deutschland 93,8.6,4436
2,8,Exit El Patrón,8.7,4409
2,9,Nuestra Finca,8.5,4370
2,10,Al Fin Cayó!,9.4,7144
3,1,The Kingpin Strategy,7.9,4387
3,2,The Cali KGB,8.0,3687
3,3,Follow the Money,8.0,3618
3,4,Checkmate,8.9,3902
3,5,MRO,8.4,3528
3,6,Best Laid Plans,8.8,3655
3,7,Sin Salida,8.9,3719
3,8,Convivir,8.7,3599
3,9,Todos Los Hombres del Presidente,9.3,4353
3,10,Going Back to Cali,9.1,4164
