season,episode_number,title,rating,total_votes
1,1,The Red Serpent,7.6,4744
1,2,Sacramentum Gladiatorum,7.9,3587
1,3,Legends,8.0,3373
1,4,The Thing in the Pit,8.3,3359
1,5,Shadow Games,8.9,3758
1,6,Delicate Things,8.5,3285
1,7,Great and Unfortunate Things,8.2,3052
1,8,Mark of the Brotherhood,8.3,3047
1,9,Whore,8.7,3351
1,10,Party Favors,9.0,3548
1,11,Old Wounds,8.6,3171
1,12,Revelations,9.0,3358
1,13,Kill Them All,9.6,6384
2,1,Fugitivus,8.1,3347
2,2,A Place in This World,8.0,2608
2,3,The Greater Good,8.2,2580
2,4,Empty Hands,8.0,2486
2,5,Libertus,9.2,3722
2,6,Chosen Path,8.0,2419
2,7,Sacramentum,8.5,2608
2,8,Balance,8.3,2417
2,9,Monsters,8.8,2772
2,10,Wrath of the Gods,9.4,4298
3,1,Enemies of Rome,8.6,3237
3,2,Wolves at the Gate,8.4,2589
3,3,Men of Honor,8.3,2463
3,4,Decimation,8.4,2482
3,5,Blood Brothers,8.8,2692
3,6,Spoils of War,8.6,2540
3,7,Mors Indecepta,8.4,2427
3,8,Separate Paths,8.9,3037
3,9,The Dead and the Dying,9.1,3150
3,10,Victory,9.7,8043
