season,episode_number,title,rating,total_votes
1,1,3 AM,8.5,8521
1,2,Two Dead Men,8.1,7247
1,3,Kandahar,8.3,6959
1,4,Resupply,8.3,6557
1,5,Gunner,8.6,6544
1,6,The Judas Goat,8.2,6252
1,7,Crosshairs,8.6,6272
1,8,Cold Steel,8.7,6360
1,9,Front Toward Enemy,8.9,6525
1,10,Virtue of the Vicious,9.1,7454
1,11,Danger Close,9.2,7936
1,12,Home,9.5,10066
1,13,Memento Mori,9.1,8009
2,1,Roadhouse Blues,8.9,6045
2,2,Fight or Flight,8.1,4636
2,3,Trouble the Water,8.8,4897
2,4,Scar Tissue,7.7,4280
2,5,One-Eyed Jacks,8.2,4125
2,6,Nakazat,7.9,3994
2,7,One Bad Day,8.2,3975
2,8,My Brother's Keeper,8.1,3933
2,9,Flustercluck,8.1,3850
2,10,The Dark Hearts of Men,8.6,4212
2,11,The Abyss,8.3,3865
2,12,Collision Course,8.8,4113
2,13,The Whirlwind,9.0,5059
