season,episode_number,title,rating,total_votes
1,1,The Target,7.9,6465
1,2,The Detail,8.2,5266
1,3,The Buys,8.2,4942
1,4,Old Cases,8.3,4775
1,5,The Pager,8.3,4573
1,6,The Wire,8.6,4748
1,7,One Arrest,8.5,4438
1,8,Lessons,8.5,4412
1,9,Game Day,8.7,4572
1,10,The Cost,9.2,5244
1,11,The Hunt,8.8,4564
1,12,Cleaning Up,9.1,4919
1,13,Sentencing,9.0,4800
2,1,Ebb Tide,7.8,4232
2,2,Collateral Damage,8.1,3942
2,3,Hot Shots,8.1,3814
2,4,Hard Cases,8.1,3760
2,5,Undertow,8.1,3681
2,6,All Prologue,8.8,4184
2,7,Backwash,8.3,3637
2,8,Duck and Cover,8.4,3694
2,9,Stray Rounds,8.6,3732
2,10,Storm Warnings,9.0,4174
2,11,Bad Dreams,9.1,4617
2,12,Port in a Storm,9.0,4323
3,1,Time After Time,8.0,3600
3,2,All Due Respect,8.4,3531
3,3,Dead Soldiers,8.4,3535
3,4,Amsterdam,8.4,3509
3,5,Straight and True,8.5,3503
3,6,Homecoming,8.6,3487
3,7,Back Burners,8.5,3418
3,8,Moral Midgetry,8.9,3759
3,9,Slapstick,8.7,3521
3,10,Reformation,8.7,3524
3,11,Middle Ground,9.6,5784
3,12,Mission Accomplished,9.3,4405
