Start,Stop,,Start_formatted,Stop_formatted,Speaker,Actual,Clarity
9.4584375,11.4834375,,0 days 00:00:09.458438,0 days 00:00:11.483438,3,none,none
19.4653125,19.6171875,,0 days 00:00:19.465312,0 days 00:00:19.617188,7,tied up man,Non-verbal
37.3528125,37.9434375,,0 days 00:00:37.352813,0 days 00:00:37.943438,6,tied up man,
40.3565625,43.3771875,,0 days 00:00:40.356563,0 days 00:00:43.377188,13,tied up man,
45.2840625,51.1228125,,0 days 00:00:45.284063,0 days 00:00:51.122813,6,tied up man,
52.7934375,57.6028125,,0 days 00:00:52.793438,0 days 00:00:57.602813,6,tied up man,
59.2059375,63.1715625,,0 days 00:00:59.205938,0 days 00:01:03.171563,6,tied up man,
75.7771875,76.3509375,,0 days 00:01:15.777187,0 days 00:01:16.350938,6,tied up man,
76.4521875,77.5828125,,0 days 00:01:16.452187,0 days 00:01:17.582813,6,tied up man,
80.4178125,82.2403125,,0 days 00:01:20.417812,0 days 00:01:22.240313,6,tied up man,
82.7803125,84.2315625,,0 days 00:01:22.780312,0 days 00:01:24.231562,6,tied up man,
85.9528125,86.5096875,,0 days 00:01:25.952813,0 days 00:01:26.509687,6,tied up man,
88.5515625,91.6059375,,0 days 00:01:28.551563,0 days 00:01:31.605937,6,tied up man,
91.7240625,91.9434375,,0 days 00:01:31.724063,0 days 00:01:31.943438,6,tied up man,
91.9434375,92.9221875,,0 days 00:01:31.943438,0 days 00:01:32.922188,18,Frank,
95.1834375,98.4403125,,0 days 00:01:35.183437,0 days 00:01:38.440313,6,tied up man,
98.4403125,98.7778125,,0 days 00:01:38.440313,0 days 00:01:38.777812,18,Frank,
98.7778125,98.8790625,,0 days 00:01:38.777812,0 days 00:01:38.879063,6,none,
107.9578125,110.4890625,,0 days 00:01:47.957813,0 days 00:01:50.489063,3,none,alarm
117.8465625,121.7784375,,0 days 00:01:57.846563,0 days 00:02:01.778437,6,tied up man, + Frank
122.3184375,126.2165625,,0 days 00:02:02.318438,0 days 00:02:06.216562,6,tied up man,
127.2290625,128.4440625,,0 days 00:02:07.229062,0 days 00:02:08.444063,6,tied up man,
128.4609375,128.4946875,,0 days 00:02:08.460938,0 days 00:02:08.494687,6,tied up man,
128.9503125,132.7134375,,0 days 00:02:08.950312,0 days 00:02:12.713437,6,tied up man,
135.2109375,136.5440625,,0 days 00:02:15.210938,0 days 00:02:16.544062,6,tied up man,+ Frank
137.4721875,141.7753125,,0 days 00:02:17.472188,0 days 00:02:21.775312,6,tied up man,+ Frank
142.9734375,144.4246875,,0 days 00:02:22.973437,0 days 00:02:24.424688,6,tied up man,
149.9596875,150.2465625,,0 days 00:02:29.959688,0 days 00:02:30.246562,3,none,alarm
150.4490625,150.4828125,,0 days 00:02:30.449063,0 days 00:02:30.482813,3,none,alarm
151.4615625,152.2884375,,0 days 00:02:31.461563,0 days 00:02:32.288437,3,tied up man,
231.4828125,231.4996875,,0 days 00:03:51.482812,0 days 00:03:51.499687,1,tied up man,yelling
231.4996875,231.5165625,,0 days 00:03:51.499687,0 days 00:03:51.516562,3,none,alarm
231.9553125,232.0565625,,0 days 00:03:51.955312,0 days 00:03:52.056563,3,none,alarm
233.4403125,236.9840625,,0 days 00:03:53.440313,0 days 00:03:56.984062,6,tied up man,
239.3296875,239.3803125,,0 days 00:03:59.329688,0 days 00:03:59.380313,1,tied up man,
239.4646875,239.4815625,,0 days 00:03:59.464688,0 days 00:03:59.481562,1,tied up man,
239.5490625,239.5659375,,0 days 00:03:59.549062,0 days 00:03:59.565937,1,tied up man,
239.6334375,239.6671875,,0 days 00:03:59.633438,0 days 00:03:59.667188,1,tied up man,
