Cumulative_shifted,Episode_order,Season,Episode,Correct_start,Correct_stop,Speaker
602.0,101,1,01,18.417812500000082,19.514687500000036,3
602.0,101,1,01,19.987187500000005,20.949062500000082,3
602.0,101,1,01,20.949062500000082,22.518437500000005,7
602.0,101,1,01,22.5859375,25.522187500000086,7
602.0,101,1,01,30.534062500000005,40.945937500000014,7
602.0,101,1,01,42.17781250000007,46.32906250000008,7
602.0,101,1,01,47.34156250000001,48.99531250000007,7
602.0,101,1,01,48.99531250000007,57.65218750000008,25
602.0,101,1,01,58.242812500000014,64.11531250000007,7
602.0,101,1,01,66.1740625000001,72.87343750000002,7
602.0,101,1,01,74.52718750000008,75.86031250000008,7
602.0,101,1,01,75.86031250000008,82.52593750000005,17
602.0,101,1,01,83.01531250000005,93.69718750000004,17
602.0,101,1,01,93.69718750000004,94.52406250000001,8
602.0,101,1,01,95.0809375,95.75593750000007,8
602.0,101,1,01,95.75593750000007,97.51093750000007,22
602.0,101,1,01,97.51093750000007,102.50593750000007,8
602.0,101,1,01,102.99531250000007,104.53093750000005,26
602.0,101,1,01,104.5646875000001,107.95656250000002,26
602.0,101,1,01,114.04843750000009,115.87093750000008,7
602.0,101,1,01,119.22906250000005,120.07281250000005,3
602.0,101,1,01,122.18218750000005,124.13968750000004,3
602.0,101,1,01,128.98281250000002,130.5184375,3
602.0,101,1,01,134.99031250000007,137.2009375,3
602.0,101,1,01,144.98031250000008,146.44843750000007,3
602.0,101,1,01,146.49906250000004,147.49468750000005,6
602.0,101,1,01,147.5284375000001,150.51531250000005,6
602.0,101,1,01,158.2271875,159.02031250000005,6
602.0,101,1,01,164.65656250000006,166.49593750000008,24
602.0,101,1,01,166.49593750000008,168.8246875000001,3
602.0,101,1,01,169.3140625000001,170.54593750000004,3
602.0,101,1,01,170.56281250000006,171.38968750000004,3
602.0,101,1,01,171.7778125000001,172.43593750000002,3
602.0,101,1,01,176.9246875,177.71781250000004,3
602.0,101,1,01,179.75968750000004,180.82281250000005,3
602.0,101,1,01,180.9915625000001,187.5221875000001,3
602.0,101,1,01,188.48406250000005,189.2096875000001,3
602.0,101,1,01,193.98531250000008,201.51156250000008,3
602.0,101,1,01,205.4771875,208.51468750000004,3
602.0,101,1,01,223.8878125000001,226.01406250000002,15
602.0,101,1,01,233.47281250000003,235.6159375000001,3
602.0,101,1,01,235.6159375000001,236.13906250000002,10
602.0,101,1,01,236.13906250000002,241.37031250000007,3
602.0,101,1,01,242.63593750000007,243.4965625000001,3
602.0,101,1,01,247.98531250000008,249.43656250000004,7
602.0,101,1,01,252.33906250000007,265.3159375,7
602.0,101,1,01,265.3159375,266.6996875000001,18
602.0,101,1,01,268.6234375,271.5596875000001,18
602.0,101,1,01,272.2009375000001,275.17093750000004,18
602.0,101,1,01,275.8965625000001,282.3765625000001,18
602.0,101,1,01,283.69281250000006,286.00468750000005,18
602.0,101,1,01,286.00468750000005,286.57843750000006,5
602.0,101,1,01,286.57843750000006,287.00031250000006,22
602.0,101,1,01,287.00031250000006,289.46406250000007,5
602.0,101,1,01,297.04093750000004,297.68218750000005,22
602.0,101,1,01,297.7159375000001,302.66031250000003,22
903.0,102,1,02,3.1790624999999864,5.457187500000032,22
903.0,102,1,02,5.457187500000032,7.313437499999964,5
903.0,102,1,02,7.313437499999964,9.321562500000027,22
903.0,102,1,02,9.321562500000027,11.684062499999982,5
903.0,102,1,02,14.68781249999995,15.801562500000045,5
903.0,102,1,02,16.18968749999999,17.50593749999996,5
903.0,102,1,02,17.50593749999996,19.935937500000023,22
903.0,102,1,02,20.03718749999996,21.9609375,22
903.0,102,1,02,21.9609375,23.985937499999977,5
903.0,102,1,02,25.707187500000032,28.930312500000014,5
903.0,102,1,02,28.930312500000014,30.16218749999996,22
903.0,102,1,02,30.904687500000023,31.84968749999996,22
903.0,102,1,02,31.84968749999996,32.32218750000004,5
903.0,102,1,02,32.625937499999964,35.157187499999964,5
903.0,102,1,02,35.157187499999964,41.94093750000002,3
903.0,102,1,02,42.700312499999995,43.99968750000005,0
903.0,102,1,02,43.99968750000005,44.50593749999996,20
903.0,102,1,02,59.727187500000014,61.127812500000005,20
903.0,102,1,02,63.945937500000014,71.18531250000001,26
903.0,102,1,02,68.02968750000002,68.46843750000005,24
903.0,102,1,02,71.18531250000001,73.26093749999995,24
903.0,102,1,02,73.4971875,74.61093749999998,25
903.0,102,1,02,75.1846875,79.50468750000005,25
903.0,102,1,02,79.94343749999996,80.41593750000004,16
903.0,102,1,02,80.93906249999998,84.01031250000005,16
903.0,102,1,02,84.16218749999996,88.21218750000003,16
903.0,102,1,02,94.43906249999998,103.53468750000002,16
903.0,102,1,02,104.04093750000004,105.45843749999995,16
903.0,102,1,02,106.13343750000001,117.94593750000001,16
903.0,102,1,02,117.94593750000001,119.49843750000002,11
903.0,102,1,02,119.49843750000002,123.93656250000004,15
903.0,102,1,02,123.93656250000004,125.67468750000035,11
903.0,102,1,02,126.61968750000005,128.40843750000022,11
903.0,102,1,02,130.3659375000002,133.85906250000016,11
903.0,102,1,02,135.1921875000005,135.90093750000005,11
903.0,102,1,02,136.52531250000038,146.12718750000022,11
903.0,102,1,02,147.12281250000024,148.5065625000002,11
903.0,102,1,02,148.9453125,149.50218750000022,15
903.0,102,1,02,149.60343750000038,150.0084374999999,15
903.0,102,1,02,150.2784375000001,151.5440625000001,15
903.0,102,1,02,151.9490625000003,156.4546875000001,6
903.0,102,1,02,160.9771874999999,163.91343750000033,8
903.0,102,1,02,163.91343750000033,165.93843750000042,22
903.0,102,1,02,165.93843750000042,166.59656250000035,13
903.0,102,1,02,166.7315625000001,168.11531250000007,13
903.0,102,1,02,168.6721875000003,173.22843750000038,13
903.0,102,1,02,173.22843750000038,182.94843750000018,15
903.0,102,1,02,181.7503125000003,182.4928124999999,26
903.0,102,1,02,182.94843750000018,192.4490625000003,26
903.0,102,1,02,192.4490625000003,195.3515625,6
903.0,102,1,02,195.58781250000038,198.99656249999998,6
903.0,102,1,02,199.03031250000004,201.86531250000007,26
903.0,102,1,02,201.86531250000007,202.38843750000024,8
903.0,102,1,02,205.6959374999999,207.94031250000035,13
903.0,102,1,02,210.55593750000048,212.4459374999999,8
903.0,102,1,02,212.78343750000022,214.94343750000007,0
903.0,102,1,02,214.99406250000038,215.85468750000018,15
903.0,102,1,02,215.9390625000001,222.50343750000002,15
903.0,102,1,02,222.58781250000038,222.9928124999999,15
903.0,102,1,02,224.32593750000024,224.83218749999992,5
