,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker
0,602.0,18.41781250000008,19.51468750000004,101,1,1,0 days 00:00:18.417813,0 days 00:00:19.514688,3
1,602.0,19.987187500000005,20.94906250000008,101,1,1,0 days 00:00:19.987188,0 days 00:00:20.949063,3
2,602.0,20.94906250000008,22.518437500000005,101,1,1,0 days 00:00:20.949063,0 days 00:00:22.518438,7
3,602.0,22.5859375,25.522187500000086,101,1,1,0 days 00:00:22.585938,0 days 00:00:25.522188,7
4,602.0,30.534062500000005,40.945937500000014,101,1,1,0 days 00:00:30.534063,0 days 00:00:40.945938,7
5,602.0,42.17781250000007,46.32906250000008,101,1,1,0 days 00:00:42.177813,0 days 00:00:46.329063,7
6,602.0,47.34156250000001,48.99531250000007,101,1,1,0 days 00:00:47.341563,0 days 00:00:48.995313,7
7,602.0,48.99531250000007,57.65218750000008,101,1,1,0 days 00:00:48.995313,0 days 00:00:57.652188,25
8,602.0,58.242812500000014,64.11531250000007,101,1,1,0 days 00:00:58.242813,0 days 00:01:04.115313,7
9,602.0,66.1740625000001,72.87343750000002,101,1,1,0 days 00:01:06.174063,0 days 00:01:12.873438,7
10,602.0,74.52718750000008,75.86031250000008,101,1,1,0 days 00:01:14.527188,0 days 00:01:15.860313,7
11,602.0,75.86031250000008,82.52593750000005,101,1,1,0 days 00:01:15.860313,0 days 00:01:22.525938,17
12,602.0,83.01531250000005,93.69718750000004,101,1,1,0 days 00:01:23.015313,0 days 00:01:33.697188,17
13,602.0,93.69718750000004,94.5240625,101,1,1,0 days 00:01:33.697188,0 days 00:01:34.524062,8
14,602.0,95.0809375,95.75593750000009,101,1,1,0 days 00:01:35.080938,0 days 00:01:35.755938,8
15,602.0,95.75593750000009,97.51093750000008,101,1,1,0 days 00:01:35.755938,0 days 00:01:37.510938,22
16,602.0,97.51093750000008,102.50593750000009,101,1,1,0 days 00:01:37.510938,0 days 00:01:42.505938,8
17,602.0,102.99531250000008,104.53093750000004,101,1,1,0 days 00:01:42.995313,0 days 00:01:44.530938,26
18,602.0,104.5646875000001,107.95656250000002,101,1,1,0 days 00:01:44.564688,0 days 00:01:47.956563,26
19,602.0,114.04843750000008,115.87093750000008,101,1,1,0 days 00:01:54.048438,0 days 00:01:55.870938,7
20,602.0,119.22906250000004,120.07281250000004,101,1,1,0 days 00:01:59.229063,0 days 00:02:00.072813,3
21,602.0,122.18218750000004,124.13968750000004,101,1,1,0 days 00:02:02.182188,0 days 00:02:04.139688,3
22,602.0,128.98281250000002,130.5184375,101,1,1,0 days 00:02:08.982813,0 days 00:02:10.518438,3
23,602.0,134.99031250000007,137.2009375,101,1,1,0 days 00:02:14.990313,0 days 00:02:17.200938,3
24,602.0,144.98031250000008,146.44843750000007,101,1,1,0 days 00:02:24.980313,0 days 00:02:26.448438,3
25,602.0,146.49906250000004,147.49468750000003,101,1,1,0 days 00:02:26.499063,0 days 00:02:27.494688,6
26,602.0,147.5284375000001,150.51531250000005,101,1,1,0 days 00:02:27.528438,0 days 00:02:30.515313,6
27,602.0,158.2271875,159.02031250000005,101,1,1,0 days 00:02:38.227188,0 days 00:02:39.020313,6
28,602.0,164.65656250000006,166.49593750000008,101,1,1,0 days 00:02:44.656563,0 days 00:02:46.495938,24
29,602.0,166.49593750000008,168.8246875000001,101,1,1,0 days 00:02:46.495938,0 days 00:02:48.824688,3
30,602.0,169.3140625000001,170.54593750000004,101,1,1,0 days 00:02:49.314063,0 days 00:02:50.545938,3
31,602.0,170.56281250000006,171.38968750000004,101,1,1,0 days 00:02:50.562813,0 days 00:02:51.389688,3
32,602.0,171.7778125000001,172.43593750000002,101,1,1,0 days 00:02:51.777813,0 days 00:02:52.435938,3
33,602.0,176.9246875,177.71781250000004,101,1,1,0 days 00:02:56.924688,0 days 00:02:57.717813,3
34,602.0,179.75968750000004,180.82281250000003,101,1,1,0 days 00:02:59.759688,0 days 00:03:00.822813,3
35,602.0,180.9915625000001,187.5221875000001,101,1,1,0 days 00:03:00.991563,0 days 00:03:07.522188,3
36,602.0,188.48406250000005,189.2096875000001,101,1,1,0 days 00:03:08.484063,0 days 00:03:09.209688,3
37,602.0,193.98531250000008,201.51156250000008,101,1,1,0 days 00:03:13.985313,0 days 00:03:21.511563,3
38,602.0,205.4771875,208.51468750000004,101,1,1,0 days 00:03:25.477188,0 days 00:03:28.514688,3
39,602.0,223.8878125000001,226.0140625,101,1,1,0 days 00:03:43.887813,0 days 00:03:46.014062,15
40,602.0,233.47281250000003,235.6159375000001,101,1,1,0 days 00:03:53.472813,0 days 00:03:55.615938,3
41,602.0,235.6159375000001,236.1390625,101,1,1,0 days 00:03:55.615938,0 days 00:03:56.139062,10
42,602.0,236.1390625,241.37031250000007,101,1,1,0 days 00:03:56.139062,0 days 00:04:01.370313,3
43,602.0,242.63593750000007,243.4965625000001,101,1,1,0 days 00:04:02.635938,0 days 00:04:03.496563,3
44,602.0,247.98531250000008,249.43656250000004,101,1,1,0 days 00:04:07.985313,0 days 00:04:09.436563,7
45,602.0,252.33906250000007,265.3159375,101,1,1,0 days 00:04:12.339063,0 days 00:04:25.315938,7
46,602.0,265.3159375,266.6996875000001,101,1,1,0 days 00:04:25.315938,0 days 00:04:26.699688,18
47,602.0,268.6234375,271.5596875000001,101,1,1,0 days 00:04:28.623438,0 days 00:04:31.559688,18
48,602.0,272.2009375000001,275.17093750000004,101,1,1,0 days 00:04:32.200938,0 days 00:04:35.170938,18
49,602.0,275.8965625000001,282.3765625000001,101,1,1,0 days 00:04:35.896563,0 days 00:04:42.376563,18
50,602.0,283.69281250000006,286.00468750000005,101,1,1,0 days 00:04:43.692813,0 days 00:04:46.004688,18
51,602.0,286.00468750000005,286.57843750000006,101,1,1,0 days 00:04:46.004688,0 days 00:04:46.578438,5
52,602.0,286.57843750000006,287.00031250000006,101,1,1,0 days 00:04:46.578438,0 days 00:04:47.000313,22
53,602.0,287.00031250000006,289.46406250000007,101,1,1,0 days 00:04:47.000313,0 days 00:04:49.464063,5
